"","word1","hit1","hit1_n","hit2","hit2_n","hit3","hit3_n","ngram_n"
"378","kodak","in",2,"moment",2,"we",2,34
"379","theater","and",23,"in",22,"with",16,444
"380","really","good",585,"like",467,"want",418,18803
"381","change","the",486,"in",233,"your",225,4273
"382","dolby","digital",2,"7.9",1,"at",1,10
"383","habit","of",100,"i",14,"is",14,264
"384","yay","for",95,"i",74,"rt",25,973
"385","rt","i",1049,"if",656,"the",434,17143
"386","body","and",214,"is",177,"of",138,2818
"387","feels","like",580,"good",183,"so",102,1645
"388","nothing","to",656,"but",349,"like",334,5284
"389","beats","the",25,"and",20,"a",17,401
"390","quick","and",129,"to",98,"question",22,1458
"391","saying","that",447,"i",164,"the",122,3041
"392","prayer","and",48,"for",46,"is",36,599
"393","tonight","at",759,"i",320,"and",275,7179
"394","doing","a",570,"it",538,"the",486,7517
"395","very","much",689,"good",602,"well",444,15057
"396","inspiring","and",34,"to",15,"story",12,392
"397","stay","tuned",617,"in",418,"on",184,3931
"398","seriously","i",116,"the",57,"though",40,2081
"399","create","a",570,"the",141,"an",81,1970
"400","we'll","be",541,"see",276,"have",197,2346
"401","take","a",2202,"the",1046,"it",712,12637
"402","two","of",614,"weeks",499,"years",494,12382
"403","cents","per",25,"a",22,"to",13,198
"404","west","coast",155,"side",72,"of",59,1419
"405","excited","to",1245,"for",740,"about",590,3734
"406","verve","and",5,"sary",2,"sketches",2,28
"407","session","with",71,"on",69,"at",44,1099
"408","networking","event",27,"sites",23,"site",17,301
"409","event","in",137,"at",94,"is",92,2497
"410","talking","about",1666,"to",676,"with",109,3563
"411","2012goals","tonite",1,NA,NA,NA,NA,1
"412","also","a",609,"the",466,"be",422,15059
"413","reapers","in",2,"and",1,"as",1,17
"414","as","a",7958,"the",4640,"well",4128,61763
"415","colonialist","pathos",1,"posh",1,"power",1,5
"416","power","of",447,"to",269,"and",204,2985
"417","mass","of",46,"effect",39,"media",28,620
"418","effect","of",138,"on",111,"is",40,865
"419","ant","farm",7,"in",3,"on",3,83
"420","thats","a",118,"what",115,"the",93,1489
"421","happen","to",425,"in",111,"and",78,2108
"422","youdontbelongontwitterif","you",2,"all",1,NA,NA,3
"423","criticize","the",9,"a",2,"him",2,49
"424","people's","lives",24,"feelings",7,"homes",6,281
"425","tweets","are",91,"and",81,"from",72,1579
"426","we","are",6487,"have",4999,"can",2916,65451
"427","tweet","me",347,"about",184,"from",108,3612
"428","mourners","are",2,"at",1,"gathered",1,8
"429","remember","the",471,"that",431,"to",275,4463
"430","pearl","harbor",29,"jam",12,"and",6,198
"431","officer","and",23,"of",22,"who",21,422
"432","killed","it",109,"in",102,"by",82,1027
"433","wpa","and",1,"bliss",1,"encryption",1,6
"434","were","a",673,"the",646,"in",561,21867
"435","she's","a",205,"not",121,"the",76,2227
"436","already","know",246,"have",241,"been",196,5241
"437","8","30",166,"pm",90,"10",81,3571
"438","half","of",609,"the",298,"a",195,3661
"439","months","ago",252,"of",208,"and",180,2720
"440","taking","a",507,"the",383,"care",139,3740
"441","steps","to",84,"in",32,"of",32,594
"442","huge","fan",132,"success",43,"difference",39,2352
"443","congrats","to",706,"on",479,"and",61,2127
"444","q","a",109,"what",66,"how",40,608
"445","beautiful","day",400,"and",234,"i",61,4320
"446","deserve","it",137,"to",121,"a",66,665
"447","tired","of",559,"and",143,"but",76,1733
"448","home","and",824,"to",524,"from",484,9878
"449","bored","and",71,"as",65,"with",47,821
"450","could","be",2003,"have",1238,"not",673,14881
"451","tapping","into",9,"away",4,"the",4,62
"452","nick","and",27,"i",18,"is",16,502
"453","burns","and",11,"in",7,"is",4,122
"454","saxon","and",2,"church",2,"forms",2,34
"455","pub","crawl",33,"and",30,"in",25,438
"456","hill","and",63,"in",22,"is",22,752
"457","country","and",179,"music",99,"is",96,2553
"458","showcase","the",14,"your",12,"their",11,216
"459","anywhere","in",89,"else",80,"near",62,659
"460","else","is",283,"to",179,"in",167,3744
"461","itsamazinghow","our",1,"someone",1,"the",1,6
"462","someone","who",738,"else",544,"to",460,7110
"463","can","be",3793,"you",1719,"do",1529,38158
"464","lie","to",85,"i",64,"in",46,839
"465","everybody","else",62,"is",56,"knows",34,1087
"466","knows","how",210,"what",175,"that",149,1888
"467","hope","you",2237,"to",1014,"that",540,10057
"468","nigerian","government",3,"dwarf",2,"fashion",2,47
"469","project","and",120,"is",101,"i",98,2320
"470","london","and",68,"the",26,"for",22,900
"471","anytime","soon",85,"i",27,"you",25,397
"472","sexy","and",63,"ass",23,"i",22,803
"473","okay","i",229,"so",143,"to",94,2267
"474","your","own",1228,"life",1093,"favorite",862,54348
"475","secretly","hoping",6,"in",6,"i",4,157
"476","sub","saharan",15,"in",11,"par",11,311
"477","tweeting","about",90,"from",76,"and",38,918
"478","class","and",237,"is",131,"of",125,3627
"479","thinking","about",1044,"of",534,"that",231,3840
"480","moving","to",225,"on",124,"forward",104,1837
"481","nearly","as",100,"all",53,"every",51,1186
"482","after","the",1822,"a",1387,"all",884,14842
"483","weird","to",68,"that",63,"i",57,1300
"484","wonderful","day",147,"and",103,"time",98,2809
"485","trip","to",690,"and",81,"i",66,2239
"486","goodbye","to",87,"i",8,"and",7,285
"487","always","be",514,"a",456,"been",440,11209
"488","prettier","than",13,"in",3,"and",2,52
"489","smarter","than",37,"and",7,"more",5,116
"490","younger","than",63,"brother",37,"and",33,545
"491","strength","and",100,"of",82,"to",82,729
"492","traiing","isn't",1,NA,NA,NA,NA,1
"493","isn't","it",261,"a",220,"that",179,2960
"494","men","and",324,"in",154,"are",135,2824
"495","women","in",252,"and",236,"who",218,3286
"496","help","me",714,"you",683,"us",331,7342
"497","decrease","in",19,"the",11,"and",4,76
"498","osteoporosis","in",2,"activities",1,"cheese",1,7
"499","victorious","in",5,"and",4,"the",3,56
"500","foward","to",18,"because",1,NA,NA,19
"501","later","i",268,"in",188,"on",182,3470
"502","call","me",752,"it",541,"the",248,6018
"503","order","to",1038,"of",147,"for",136,2790
"504","pickup","truck",18,"line",14,"and",4,101
"505","kit","is",19,"and",18,"kat",13,331
"506","natural","and",44,"gas",38,"resources",35,1212
"507","together","and",403,"with",227,"in",222,4183
"508","billy","joel",13,"crystal",12,"and",10,281
"509","course","i",395,"the",283,"of",251,4445
"510","racist","and",12,"but",8,"or",8,274
"511","idea","of",700,"that",300,"what",273,3896
"512","liberal","arts",18,"democrats",11,"and",10,300
"513","black","and",369,"people",90,"friday",79,3926
"514","vote","for",370,"on",73,"in",70,1299
